Szczegółowe wyniki eksperymentów GLVQ
======================================

--- Exp 1: prototypes_per_class vs max_iter ---
  [Exp 5] Beta: 2.0, Max Iter: 50 -> PK = 73.57%
  [Exp 5] Beta: 2.0, Max Iter: 80 -> PK = 73.57%
  [Exp 5] Beta: 5.0, Max Iter: 1 -> PK = 77.50%
  [Exp 5] Beta: 5.0, Max Iter: 2 -> PK = 77.50%
  [Exp 5] Beta: 5.0, Max Iter: 5 -> PK = 76.25%
  [Exp 5] Beta: 5.0, Max Iter: 8 -> PK = 75.00%
  [Exp 5] Beta: 5.0, Max Iter: 12 -> PK = 75.00%
  [Exp 5] Beta: 5.0, Max Iter: 20 -> PK = 73.75%
  [Exp 5] Beta: 5.0, Max Iter: 50 -> PK = 72.32%
  [Exp 5] Beta: 5.0, Max Iter: 80 -> PK = 73.75%
  [Exp 5] Beta: 10.0, Max Iter: 1 -> PK = 74.64%
  [Exp 5] Beta: 10.0, Max Iter: 2 -> PK = 78.93%
  [Exp 5] Beta: 10.0, Max Iter: 5 -> PK = 77.86%
  [Exp 5] Beta: 10.0, Max Iter: 8 -> PK = 73.57%
  [Exp 5] Beta: 10.0, Max Iter: 12 -> PK = 75.00%
  [Exp 5] Beta: 10.0, Max Iter: 20 -> PK = 73.75%
  [Exp 5] Beta: 10.0, Max Iter: 50 -> PK = 73.75%
  [Exp 5] Beta: 10.0, Max Iter: 80 -> PK = 73.75%

--- Exp 6: beta vs gtol ---
  [Exp 6] Beta: 0.5, Gtol: 0.01 -> PK = 69.11%
  [Exp 6] Beta: 0.5, Gtol: 0.001 -> PK = 69.11%
  [Exp 6] Beta: 0.5, Gtol: 0.0001 -> PK = 69.11%
  [Exp 6] Beta: 0.5, Gtol: 1e-05 -> PK = 69.11%
  [Exp 6] Beta: 0.5, Gtol: 1e-06 -> PK = 69.11%
  [Exp 6] Beta: 1.0, Gtol: 0.01 -> PK = 76.43%
  [Exp 6] Beta: 1.0, Gtol: 0.001 -> PK = 71.96%
  [Exp 6] Beta: 1.0, Gtol: 0.0001 -> PK = 73.21%
  [Exp 6] Beta: 1.0, Gtol: 1e-05 -> PK = 73.21%
  [Exp 6] Beta: 1.0, Gtol: 1e-06 -> PK = 73.21%
  [Exp 6] Beta: 2.0, Gtol: 0.01 -> PK = 76.07%
  [Exp 6] Beta: 2.0, Gtol: 0.001 -> PK = 73.57%
  [Exp 6] Beta: 2.0, Gtol: 0.0001 -> PK = 73.57%
  [Exp 6] Beta: 2.0, Gtol: 1e-05 -> PK = 73.57%
  [Exp 6] Beta: 2.0, Gtol: 1e-06 -> PK = 73.57%
  [Exp 6] Beta: 5.0, Gtol: 0.01 -> PK = 79.11%
  [Exp 6] Beta: 5.0, Gtol: 0.001 -> PK = 73.75%
  [Exp 6] Beta: 5.0, Gtol: 0.0001 -> PK = 73.75%
  [Exp 6] Beta: 5.0, Gtol: 1e-05 -> PK = 73.75%
  [Exp 6] Beta: 5.0, Gtol: 1e-06 -> PK = 73.75%
  [Exp 6] Beta: 10.0, Gtol: 0.01 -> PK = 77.86%
  [Exp 6] Beta: 10.0, Gtol: 0.001 -> PK = 73.75%
  [Exp 6] Beta: 10.0, Gtol: 0.0001 -> PK = 73.75%
  [Exp 6] Beta: 10.0, Gtol: 1e-05 -> PK = 73.75%
  [Exp 6] Beta: 10.0, Gtol: 1e-06 -> PK = 73.75%
